Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
446.140000,441.14000,-,94.8,94.8,KB6CJZ,"Orange",Orange,California,FM ,
446.120000,441.12000,-,131.8,,W7HEN,"Silverado - Hagador Peak",Orange,California,FM AllStar ,
445.940000,440.94000,-,151.4,151.4,W6CTR,"Silverado - Hagador Peak",Orange,California,FM ,
445.760000,440.76000,-,103.5,103.5,KA6TBF,"Corona - Sierra Peak",Orange,California,FM Fusion WIRES-X ,
445.705000,440.70500,-,,,K6SOA,"Laguna Beach - Temple Hill",Orange,California,DSTAR ,
445.660000,440.66000,-,110.9,,K6SOA,"Laguna Beach - Temple Hill",Orange,California,FM ,
445.580000,440.58000,-,136.5,136.5,W6LY,"Laguna Woods",Orange,California,FM ,
445.520000,440.52000,-,85.4,85.4,K6KBF,"Buena Park - Knotts Berry Farm",Orange,California,FM ,
445.400000,440.40000,-,110.9,,WD6DIH,"Irvine - Signal Peak",Orange,California,FM ,
445.360000,440.36000,-,100.0,100.0,K6NX,"Seal Beach",Orange,California,FM ,
445.220000,440.22000,-,123.0,79.7,K6NBR,"Newport Beach",Orange,California,FM ,
445.120000,440.12000,-,100.0,,KK6HS,"Fullerton - Fullerton Hills",Orange,California,FM ,
224.960000,223.36000,-,,,KF6JWT,"Santiago Peak",Orange,California,FM ,
224.880000,223.28000,-,107.2,,KB6TRD,"Santiago Peak",Orange,California,FM ,
224.820000,223.22000,-,156.7,,K8BUW,"Santiago Peak",Orange,California,FM ,
224.760000,223.16000,-,100.0,,W6SCE,"Santiago Peak",Orange,California,FM ,
224.640000,223.04000,-,151.4,,K6SOA,"Santiago Peak",Orange,California,FM ,
224.500000,222.90000,-,162.2,,K6SYU,"Fullerton - St Jude Hospital",Orange,California,FM ,
224.320000,222.72000,-,151.4,,AD6HK,"Costa Mesa",Orange,California,FM ,
224.220000,222.62000,-,151.4,151.4,WR6AAC,"Santiago Peak",Orange,California,FM AllStar ,
224.100000,222.50000,-,110.9,,K6SOA,"Laguna Beach - Temple Hill",Orange,California,FM ,
223.820000,222.22000,-,94.8,,WA6SVT,"Santiago Peak",Orange,California,FM ,
147.975000,147.37500,-,151.4,151.4,KB6BXD,"Mission Viejo",Orange,California,FM ,
147.915000,147.31500,-,136.5,,K6COV,"Orange",Orange,California,FM ,
147.855000,147.25500,-,100.0,,WA6YNT,"Placentia",Orange,California,FM ,
147.645000,147.04500,-,110.9,,K6SOA,"Laguna Beach",Orange,California,FM EchoLink IRLP ,
147.570000,145.01500,s,,,W6HRO,"Anaheim - HRO",Orange,California,DSTAR ,
147.465000,146.50500,s,103.5,103.5,W6VLD,"Santiago Peak",Orange,California,FM ,
147.435000,146.40000,s,103.5,,K6MWT,"Santiago Peak",Orange,California,FM ,
147.120000,147.72000,+,136.5,,W6LY,"Laguna Woods",Orange,California,FM ,
147.060000,147.66000,+,100.0,100.0,W6MSC,"Costa Mesa - City Hall",Orange,California,FM AllStar EchoLink ,
146.970000,146.37000,-,136.5,,K6QEH,"Fullerton - Raytheon Campus",Orange,California,FM ,
146.940000,146.34000,-,,,N6CYP,"Cypress",Orange,California,DSTAR ,
146.895000,146.29500,-,136.5,136.5,W6KRW,"Tustin - Loma Ridge",Orange,California,FM ,
146.895000,146.29500,-,136.5,,W6KRW,"San Clemente",Orange,California,FM ,
146.790000,146.19000,-,114.8,,K6SYU,"Fullerton - St Jude Hospital",Orange,California,FM ,
146.265000,146.86500,+,136.5,136.5,K6CF,"Anaheim Hills",Orange,California,FM ,
146.115000,146.71500,+,,,K6SOA,"Laguna Beach - Temple Hill",Orange,California,DSTAR ,
145.420000,144.82000,-,136.5,,K6NBR,"Newport Beach",Orange,California,FM ,
145.400000,144.80000,-,103.5,103.5,N6ME,"Fullerton",Orange,California,FM ,
145.260000,144.66000,-,136.5,,WA6FV,"Fountain Valley",Orange,California,FM ,
145.240000,144.64000,-,110.9,,K6SOA,"Trabuco Canyon",Orange,California,FM ,
145.220000,144.62000,-,103.5,,K6ITR,"Santiago Peak",Orange,California,FM ,
145.160000,144.56000,-,156.7,,WD6DIH,"Irvine - Signal Peak",Orange,California,FM ,
145.140000,144.54000,-,110.9,,W6HBR,"Corona - Pleasants Peak",Orange,California,FM AllStar EchoLink ,
52.620000,52.12000,-,103.5,103.5,W6KRW,"Santiago Peak",Orange,California,FM ,
51.920000,51.42000,-,131.8,131.8,K6ARN,"Silverado - Hagador Peak",Orange,California,FM ,
51.700000,51.20000,-,82.5,141.3,K6LRB,"Santiago Peak",Orange,California,FM ,
29.640000,29.54000,-,107.2,,W6KRW,"Santiago Peak",Orange,California,FM ,
